,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,Between
241,967,150.6627083,-34.02502,5.3,6.2,-0.26,2.4,16.8,12.6,-4.3,-8.07,11.05
242,971,150.6626967,-34.0250617,6.4,7.2,-0.31,1.61,16,12.3,-3.62,-7.63,11.2
243,975,150.6626867,-34.0251067,6.2,8.1,-0.17,1.68,15.9,13,-3.43,-7.01,11.05
244,979,150.6626767,-34.0251517,6.5,8.7,-0.24,1.64,15.8,13.1,-3.53,-7.33,11.15
245,983,150.662665,-34.025195,6,7.8,-0.21,1.71,17.2,12.5,-3.91,-7.7,11.6
246,987,150.6626533,-34.02524,4.6,6.3,-0.1,2.32,20.2,12.7,-4.59,-8.07,12.4
247,991,150.66264,-34.025285,4.4,5.3,-0.09,2.81,22.2,12.6,-5.18,-8.62,13.3
248,995,150.66263,-34.0253283,4.3,5,-0.04,3,22.4,12.5,-5.22,-8.5,13.35
249,999,150.66262,-34.0253683,4.6,6,0.05,2.86,20.9,11.6,-4.83,-7.74,12.75
250,1003,150.66261,-34.02541,4.4,7.1,0.18,2.59,19.5,12.9,-4.27,-7.07,11.95
