Latitude,Longitude,Accuracy,Time,Reading
-34.02500355,150.66293263,3,131917,4.82
-34.02497281,150.66293975,3,131918,4.61
-34.02494314,150.66294708,3,131919,4.43
-34.02491462,150.66295495,3,131920,4.5
-34.02489479,150.66296174,3,131921,4.92
-34.0248776,150.66296758,3,131922,4.79
-34.02486301,150.66297083,3,131923,4.9
-34.02484667,150.66297046,3,131924,4.59
-34.02483159,150.66296279,3,131925,4.6
-34.02482064,150.66294721,3,131926,4.62
-34.02481652,150.66292617,3,131927,4.77
-34.02482164,150.66290508,3,131928,5.23
-34.02483589,150.66288993,3,131929,4.48
-34.02485398,150.66288276,3,131930,5.22
-34.02489149,150.66287666,3,131932,5
-34.0249106,150.66287365,3,131933,5.090001
-34.02492957,150.66287017,3,131934,4.900001
-34.02494869,150.66286656,3,131935,4.51
-34.02496797,150.66286247,3,131936,4.33
-34.02499201,150.66285709,3,131937,4.86
-34.02501548,150.66285206,3,131938,4.869999
-34.02503932,150.6628471,3,131939,4.88
-34.02506345,150.66284223,3,131940,4.49
-34.02508791,150.6628376,3,131941,4.69
-34.02511277,150.66283294,3,131942,4.83999
-34.02513813,150.66282778,3,131943,4.87
-34.02516401,150.66282239,3,131944,4.61
-34.02518948,150.66281621,3,131945,4.81
-34.02521537,150.66280997,3,131946,4.51
-34.0252415,150.66280376,3,131947,5.04
-34.02526734,150.66279816,3,131948,4.73
-34.02529351,150.66279209,3,131949,4.82
-34.02532,150.66278534,3,131950,4.92
-34.02534678,150.66277849,3,131951,4.99
-34.02537402,150.66277206,3,131952,4.81
-34.02540125,150.66276569,3,131953,4.859999
-34.0254292,150.66275979,3,131954,4.789999
-34.02545694,150.66275386,3,131955,4.63
-34.02548494,150.66274721,3,131956,5.03
-34.02551271,150.66273964,3,131957,4.62
-34.0255411,150.66273175,3,131958,4.550001
-34.02556969,150.66272424,3,131959,5.159999
-34.02559915,150.66271718,3,132000,4.71
-34.0256285,150.66270974,3,132001,4.85
-34.02565787,150.66270229,3,132002,4.5
-34.02568695,150.66269491,3,132003,4.78
-34.02571608,150.66268742,3,132004,5.12
-34.02574557,150.66267961,3,132005,4.73
-34.02577488,150.66267227,3,132006,4.65
-34.025804,150.66266489,3,132007,4.75
-34.02583272,150.66265689,3,132008,4.53
-34.02586062,150.66264891,3,132009,5.09
-34.02588795,150.66264109,3,132010,4.639999
-34.02591532,150.66263396,3,132011,4.65
-34.025943,150.66262674,3,132012,5
-34.02597059,150.66261916,3,132013,4.93
-34.02599789,150.66261172,3,132014,4.35
-34.02602521,150.66260406,3,132015,4.47
-34.02605208,150.66259672,3,132016,4.57
-34.02607841,150.66259009,3,132017,4.64
-34.02610426,150.66258364,3,132018,4.7
-34.02612944,150.6625771,3,132019,4.92
-34.02615478,150.66257017,3,132020,4.48
-34.02618003,150.66256299,3,132021,4.73
-34.02620532,150.66255575,3,132022,4.71
-34.02623037,150.6625486,3,132023,4.63
-34.02625526,150.6625421,3,132024,4.63
-34.02628027,150.66253551,3,132025,4.51
-34.02630574,150.66252884,3,132026,4.58
-34.02633089,150.66252129,3,132027,4.57
-34.02635637,150.66251367,3,132028,4.77
-34.02638196,150.66250665,3,132029,4.909999
-34.02643263,150.66249623,3,132031,4.68
-34.02645672,150.6624905,3,132032,4.65
-34.02647941,150.66248269,3,132033,4.9
-34.02649443,150.66247289,3,132034,4.42
-34.02650649,150.66245797,3,132035,4.48
-34.02651183,150.66243666,3,132036,4.61
-34.02650714,150.66241353,3,132037,4.47
-34.02649109,150.66239566,3,132038,4.75
-34.02646902,150.66238951,3,132039,4.530001
-34.02644657,150.66239263,3,132040,4.58
-34.02642446,150.6624006,3,132041,4.59
-34.02640212,150.6624089,3,132042,4.62
-34.026379,150.66241668,3,132043,4.47
-34.02635275,150.66242419,3,132044,4.71
-34.02632697,150.66243111,3,132045,4.77
-34.02630163,150.66243791,3,132046,4.72
-34.0262761,150.6624442,3,132047,4.64
-34.02625044,150.66245136,3,132048,4.47
-34.02622493,150.66245865,3,132049,4.58
-34.02619938,150.66246604,3,132050,4.55
-34.02617397,150.66247358,3,132051,4.51
-34.02614891,150.66248099,3,132052,4.54
-34.02609673,150.66249526,3,132054,4.78
-34.02607005,150.66250101,3,132055,4.55
-34.0260428,150.66250547,3,132056,4.46
-34.02601523,150.66250958,3,132057,4.5
-34.02598788,150.66251401,3,132058,4.66
-34.02596042,150.6625198,3,132059,4.56
-34.02593311,150.66252687,3,132100,4.75
-34.02590622,150.66253431,3,132101,4.77
-34.02587944,150.66254168,3,132102,4.68
-34.02585284,150.66254936,3,132103,4.690001
-34.02582625,150.66255738,3,132104,4.63
-34.0257992,150.66256481,3,132105,4.65
-34.02577239,150.66257119,3,132106,4.71
-34.02574604,150.66257698,3,132107,4.43
-34.0257206,150.66258295,3,132108,4.6
-34.02569602,150.66258924,3,132109,4.74
-34.02567399,150.66259463,3,132110,4.55
-34.02565247,150.66260053,3,132111,4.66
-34.02563154,150.66260651,3,132112,4.76
-34.02561031,150.66261256,3,132113,4.95
-34.02558889,150.66261892,3,132114,4.859999
-34.0255672,150.66262527,3,132115,4.88
-34.02554493,150.66263104,3,132116,4.69
-34.02552293,150.66263638,3,132117,4.79
-34.0255009,150.66264214,3,132118,4.74
-34.02547815,150.66264771,3,132119,4.84
-34.02545527,150.66265301,3,132120,4.59
-34.02543242,150.66265809,3,132121,4.99
-34.02540873,150.66266307,3,132122,4.68
-34.02538487,150.66266817,3,132123,4.86
-34.02536085,150.66267382,3,132124,4.9
-34.02533669,150.66267994,3,132125,4.81
-34.02531214,150.66268534,3,132126,4.75
-34.02528735,150.66269057,3,132127,4.87
-34.02526282,150.66269549,3,132128,5.07
-34.02523855,150.66270112,3,132129,4.849999
-34.02521436,150.66270712,3,132130,4.88
-34.02519006,150.66271335,3,132131,4.62
-34.02516596,150.66272034,3,132132,4.5
-34.02514215,150.66272741,3,132133,4.52
-34.02511817,150.66273415,3,132134,4.53
-34.02509434,150.66274095,3,132135,4.7
-34.02507056,150.66274712,3,132136,4.73
-34.02504626,150.66275343,3,132137,4.79
-34.02502193,150.66275967,3,132138,4.969999
-34.02499836,150.66276657,3,132139,4.99
-34.02497484,150.66277399,3,132140,5
-34.02495146,150.66278147,3,132141,4.74
-34.02492821,150.66278847,3,132142,5.16
-34.02490481,150.66279548,3,132143,5.13
-34.02488191,150.66280162,3,132144,4.81999
-34.02485957,150.66280685,3,132145,4.6
-34.02484318,150.66280762,3,132146,4.61
-34.02483096,150.66280416,3,132147,5.15
-34.02482036,150.66279433,3,132148,6.01
-34.02481479,150.66277773,3,132149,4.57
-34.02482344,150.66274225,3,132151,4.42
-34.02483656,150.66272475,3,132153,4.95
-34.02486233,150.66271694,3,132154,4.970001
-34.02487846,150.66271668,3,132155,4.53
-34.02489523,150.6627181,3,132156,4.55
-34.02491283,150.6627181,3,132157,4.58
-34.02493027,150.66271721,3,132158,4.56
-34.02494806,150.66271521,3,132159,4.699999
-34.02496603,150.66271227,3,132200,4.47
-34.02498381,150.66270926,3,132201,4.44
-34.02500495,150.66270442,3,132202,4.929999
-34.02502564,150.66269944,3,132203,4.260001
-34.02504627,150.66269498,3,132204,4.5
-34.02506747,150.6626903,3,132205,4.77
-34.02508969,150.66268634,3,132206,4.77
-34.025113,150.66268289,3,132207,4.5
-34.02513614,150.66267915,3,132208,4.84
-34.02515961,150.66267519,3,132209,4.49
-34.02518259,150.66267082,3,132210,4.8
-34.02520593,150.66266708,3,132211,4.75
-34.02522965,150.66266295,3,132212,4.54
-34.02525276,150.66265749,3,132213,4.69
-34.02527553,150.66265192,3,132214,4.73
-34.02529799,150.66264514,3,132215,4.54
-34.02532062,150.66263766,3,132216,5.13
-34.02534348,150.66263024,3,132217,4.9
-34.02536613,150.66262287,3,132218,4.52
-34.0253885,150.662616,3,132219,4.41
-34.02541139,150.66261017,3,132220,4.880001
-34.02543458,150.6626048,3,132221,4.53
-34.0254586,150.66259929,3,132222,4.62
-34.02548346,150.66259334,3,132223,4.66
-34.02550953,150.66258678,3,132224,4.879999
-34.02557192,150.66257275,3,132226,4.36
-34.0256326,150.66255894,3,132228,4.61
-34.0256629,150.66255111,3,132229,4.76
-34.02569302,150.66254317,3,132230,4.66
-34.02572291,150.66253589,3,132231,4.46
-34.02575236,150.66252847,3,132232,4.460001
-34.02578103,150.66252213,3,132233,4.7
-34.02580944,150.66251565,3,132234,4.889999
-34.02583749,150.66250908,3,132235,4.63
-34.0258655,150.66250218,3,132236,4.48
-34.02589433,150.66249518,3,132237,4.61
-34.02592315,150.66248824,3,132238,4.28
-34.02595209,150.66248136,3,132239,4.43
-34.02598093,150.66247484,3,132240,4.29
-34.026009,150.66246877,3,132241,4.55
-34.02603719,150.66246227,3,132242,4.72
-34.02606462,150.66245587,3,132243,4.46
-34.02609186,150.66244891,3,132244,4.64
-34.02611901,150.66244169,3,132245,4.09
-34.02617227,150.66242649,3,132247,4.43
-34.02619825,150.66241846,3,132248,4.57
-34.0262245,150.66241036,3,132249,4.61
-34.02625054,150.66240264,3,132250,4.53
-34.02627751,150.66239458,3,132251,4.5
-34.02630421,150.66238602,3,132252,4.99
-34.02633048,150.66237689,3,132253,4.849999
-34.02635666,150.66236869,3,132254,4.39
-34.02638208,150.66236087,3,132255,4.47
-34.02640608,150.66235263,3,132256,4.37
-34.02642076,150.66234475,3,132257,4.54
-34.02643338,150.66233274,3,132258,4.87
-34.0264408,150.66231611,3,132259,4.65
-34.02644106,150.66229527,3,132300,3.98
-34.02643213,150.66227537,3,132301,4.42
-34.0264155,150.66226134,3,132302,4.51
-34.02639451,150.6622584,3,132303,4.88
-34.02637276,150.66226455,3,132304,4.84
-34.02635148,150.66227471,3,132305,4.49
-34.02632624,150.66228531,3,132306,4.44
-34.02630125,150.66229425,3,132307,4.65
-34.02625015,150.66231087,3,132309,4.6
-34.02622408,150.66231846,3,132310,4.6
-34.02619741,150.66232581,3,132311,4.69
-34.02617016,150.66233301,3,132312,4.76
-34.02614258,150.66234102,3,132313,4.68
-34.02611093,150.66235053,3,132314,4.63
-34.02607961,150.66236008,3,132315,4.4
-34.02604854,150.6623695,3,132316,4.6
-34.02601705,150.6623786,3,132317,4.73
-34.02595345,150.66239764,3,132319,4.89
-34.0259222,150.66240666,3,132320,4.88
-34.02589105,150.66241529,3,132321,4.79
-34.02585998,150.66242294,3,132322,4.31
-34.02582985,150.66243,3,132323,4.48
-34.02580069,150.66243669,3,132324,4.6
-34.02577251,150.66244275,3,132325,4.47
-34.02574722,150.66244818,3,132326,4.53
-34.02572197,150.66245342,3,132327,4.68
-34.0256971,150.66245885,3,132328,4.59
-34.02567285,150.66246443,3,132329,4.61
-34.02564911,150.6624705,3,132330,4.47
-34.02562519,150.66247619,3,132331,4.61
-34.02560154,150.66248184,3,132332,4.83
-34.02557729,150.6624872,3,132333,4.83
-34.02555251,150.66249272,3,132334,4.7
-34.02552757,150.66249916,3,132335,4.62
-34.02550199,150.66250547,3,132336,4.76
-34.02547613,150.66251234,3,132337,4.799999
-34.02544997,150.66251905,3,132338,4.54
-34.02542367,150.66252558,3,132339,4.66
-34.02539654,150.66253226,3,132340,4.76
-34.0253688,150.66253919,3,132341,4.56
-34.02534047,150.66254635,3,132342,4.47
-34.02531181,150.66255344,3,132343,4.58
-34.02528277,150.6625607,3,132344,4.73
-34.02525367,150.66256827,3,132345,4.719999
-34.0252239,150.66257604,3,132346,4.59
-34.02519404,150.66258352,3,132347,4.5
-34.02516382,150.66259111,3,132348,4.59
-34.02513323,150.66259856,3,132349,4.68
-34.02510257,150.66260612,3,132350,4.73
-34.02507216,150.66261397,3,132351,4.59
-34.02501347,150.66262925,3,132353,4.59
-34.02498425,150.66263641,3,132354,4.76
-34.02495534,150.6626431,3,132355,4.84
-34.0249267,150.66265009,3,132356,4.68
-34.02489858,150.66265705,3,132357,4.77
-34.02487109,150.6626648,3,132358,4.62
-34.0248449,150.66267167,3,132359,4.46
-34.02482018,150.66267618,3,132400,4.54
-34.0248038,150.66267331,3,132401,4.92
-34.02478863,150.66266389,3,132402,4.88
-34.02477792,150.66264719,3,132403,4.71
-34.02477546,150.6626264,3,132404,4.92
-34.02478276,150.66260904,3,132405,4.550001
-34.02479738,150.66259526,3,132406,5.01
-34.02481582,150.66258703,3,132407,4.34
-34.0248361,150.66258291,3,132408,4.45
-34.02485724,150.6625803,3,132409,4.77
-34.02488171,150.66257797,3,132410,4.76
-34.02490565,150.66257514,3,132411,4.48
-34.02492987,150.66257107,3,132412,4.340001
-34.0249541,150.6625663,3,132413,4.62
