,Time,Lon,Lat,Reading,,Time,Reading,
244,549,150.66247,-34.0262033,11.805,,,,
245,550,150.6624767,-34.02618,11.915,,,,
246,551,150.6624817,-34.0261583,11.935,,,,
247,552,150.6624883,-34.0261367,12.005,,,,
248,553,150.6624933,-34.026115,12.0175,,,,
249,554,150.6625,-34.0260933,12.0425,,,,
250,555,150.662505,-34.0260717,12.0575,,,,
251,556,150.6625117,-34.02605,12.075,,,,
252,557,150.6625167,-34.0260283,12.055,,,,
253,558,150.6625217,-34.0260067,12.0325,,,,
254,559,150.6625267,-34.025985,12.005,,,,
255,560,150.6625317,-34.025965,11.97,,,,
256,561,150.6625383,-34.0259433,11.935,,,,
257,562,150.662545,-34.0259233,11.895,,,,
258,563,150.6625483,-34.025905,11.8375,,,,
259,564,150.6625467,-34.0258867,11.765,,,,
260,565,150.662535,-34.0258733,11.6875,,,,
261,566,150.662515,-34.0258683,11.6125,,,,
262,567,150.662495,-34.0258717,11.56,,,,
263,568,150.66248,-34.0258833,11.5325,,,,
264,569,150.6624683,-34.0258967,11.54,,,,
265,570,150.6624633,-34.0259133,11.555,,,,
266,571,150.6624583,-34.02593,11.5925,,,,
267,572,150.6624533,-34.0259483,11.6625,,,,
268,573,150.6624483,-34.025965,11.75,,,,
269,574,150.662445,-34.0259833,11.845,,,,
270,575,150.6624417,-34.0260017,11.955,,,,
271,576,150.6624367,-34.02602,12.055,,,,
272,577,150.6624333,-34.02604,12.155,,,,
273,578,150.66243,-34.02606,12.24,,,,
274,579,150.662425,-34.0260783,12.3025,,,,
275,580,150.6624217,-34.0260983,12.3525,,,,
276,581,150.6624183,-34.0261183,12.4025,,,,
277,582,150.662415,-34.02614,12.3975,,,,
278,583,150.6624117,-34.02616,12.3675,,,,
279,584,150.6624067,-34.0261817,12.3325,,,,
280,585,150.6624017,-34.0262033,12.28,,,,
281,586,150.6623967,-34.026225,12.2275,,,,
282,587,150.6623917,-34.026245,12.1975,,,,
283,588,150.662385,-34.0262683,12.195,,,,
284,589,150.6623783,-34.02629,12.1575,,,,
285,590,150.6623733,-34.0263117,12.0775,,,,
286,591,150.6623667,-34.026335,12.115,,,,
287,592,150.66236,-34.0263567,12.17,,,,
288,593,150.662355,-34.0263783,12.235,,,,
289,594,150.6623483,-34.0263983,12.2875,,,,
290,595,150.6623433,-34.0264217,12.35,,,,
291,596,150.6623383,-34.0264433,12.415,,,,
292,597,150.662335,-34.0264633,12.485,,,,
293,598,150.66233,-34.0264833,12.5375,,,,
294,599,150.6623217,-34.0265,12.5925,,,,
