,Time,Lon,Lat
782,781,150.6620533,-34.0260967
783,782,150.6620483,-34.0261167
784,783,150.662045,-34.0261383
785,784,150.66204,-34.0261583
786,785,150.6620367,-34.0261783
787,786,150.6620317,-34.0261983
788,787,150.6620217,-34.0262167
789,788,150.6620033,-34.026225
790,789,150.6619833,-34.0262217
791,790,150.6619683,-34.02621
792,791,150.661965,-34.0261933
793,792,150.6619683,-34.026175
794,793,150.661975,-34.0261567
795,794,150.66198,-34.0261383
796,795,150.661985,-34.0261183
797,796,150.6619883,-34.0260983
798,797,150.6619917,-34.0260783
799,798,150.6619967,-34.0260583
800,799,150.6620017,-34.0260383
801,800,150.6620067,-34.0260167
802,801,150.6620117,-34.0259967
803,802,150.6620167,-34.0259767
804,803,150.6620217,-34.0259567
805,804,150.6620267,-34.0259367
806,805,150.6620333,-34.0259167
807,806,150.6620383,-34.025895
808,807,150.66204,-34.0258767
809,808,150.6620433,-34.0258567
810,809,150.662045,-34.0258367
811,810,150.66205,-34.0258167
812,811,150.6620583,-34.0258
813,812,150.6620733,-34.0257867
814,813,150.6620933,-34.02578
815,814,150.6621167,-34.0257817
816,815,150.662135,-34.025785
817,816,150.6621567,-34.02579
818,817,150.6621783,-34.0257917
819,818,150.6622,-34.025795
820,819,150.6622217,-34.0257983
