,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,1.5mHCPcon
206,830,150.6628933,-34.02512,10.6,8.1,-0.12,2.42,19.7,14.7,-3.44,-8.58,9.35
207,834,150.6628867,-34.02515,10.9,8.2,-0.11,2.07,18.9,14.6,-3.27,-8.56,9.55
208,838,150.6628783,-34.0251783,11.4,8.6,-0.22,1.88,18.6,14.4,-3.22,-8.65,10
209,842,150.6628717,-34.025205,11,8.7,-0.09,1.7,18.4,14,-3.08,-8.37,9.85
210,846,150.662865,-34.0252333,11,8.8,-0.06,1.71,19.6,14.4,-3.25,-8.38,9.9
211,850,150.6628567,-34.02526,10.3,7.6,-0.03,2.1,21.8,15.1,-3.68,-8.74,8.95
212,854,150.66285,-34.0252867,11.6,7.3,-0.06,2.55,23.9,16,-4.19,-9.24,9.45
213,858,150.6628417,-34.025315,11.7,7.4,-0.14,2.66,24.3,15.9,-4.34,-9.44,9.55
214,862,150.662835,-34.0253417,11.2,6.6,-0.1,2.77,23.8,15.6,-4.37,-9.46,8.9
215,866,150.6628283,-34.0253667,10.3,7.2,-0.03,2.83,22.9,14.5,-4.28,-9.18,8.75
216,870,150.6628217,-34.0253933,10.7,7,0.01,2.83,22.7,14.6,-4.19,-9.05,8.85
217,874,150.6628133,-34.0254217,10.1,6.8,0.1,2.72,21.4,14.1,-3.9,-8.52,8.45
218,878,150.6628067,-34.0254483,10.1,7.4,0.15,2.81,21.1,13.7,-3.82,-8.09,8.75
219,882,150.6628,-34.025475,10.2,7.6,0.25,2.89,20.4,13.2,-3.6,-7.54,8.9
220,886,150.6627917,-34.0255033,10.3,8.2,0.27,2.54,18.3,12.9,-3.14,-7.03,9.25
221,890,150.662785,-34.0255317,9.5,8.1,0.38,2.3,17.3,12,-2.87,-6.61,8.8
222,894,150.6627767,-34.02556,9.1,8.6,0.48,2.21,16.1,11.8,-2.59,-6.22,8.85
223,898,150.66277,-34.0255883,9.3,8.5,0.49,2.05,15.7,11.6,-2.45,-6.05,8.9
224,902,150.6627617,-34.0256183,8.3,8.2,0.51,2.21,16.6,11.9,-2.58,-6.03,8.25
225,906,150.6627533,-34.0256467,9,7.8,0.52,2.37,17.3,11.7,-2.73,-6.07,8.4
226,910,150.662745,-34.0256767,7.7,7.8,0.63,2.54,16.8,11.5,-2.76,-5.85,7.75
227,914,150.6627383,-34.025705,8.3,7.7,0.66,2.46,16.7,11.3,-2.66,-5.69,8
228,918,150.66273,-34.025735,7.4,7.9,0.71,2.45,16,10.9,-2.6,-5.58,7.65
229,922,150.6627233,-34.0257633,7.4,7.9,0.67,2.44,15.5,10.5,-2.58,-5.54,7.65
230,926,150.6627167,-34.0257933,7,6.9,0.64,2.39,14.6,9.9,-2.44,-5.34,6.95
231,930,150.66271,-34.0258233,5.9,6.8,0.72,2.32,13.5,8.9,-2.29,-5.12,6.35
232,934,150.662705,-34.0258517,5.2,5.4,0.72,2.23,12.9,8.3,-2.23,-5.02,5.3
233,938,150.6626983,-34.02588,5.1,4.8,0.72,2.29,13.3,8.4,-2.26,-5.02,4.95
234,942,150.6626917,-34.02591,5.2,4.6,0.69,2.38,13.1,8.3,-2.3,-4.99,4.9
235,946,150.6626833,-34.0259383,5,4.6,0.71,2.49,13,7.9,-2.26,-4.86,4.8
236,950,150.6626767,-34.0259667,5.5,5,0.69,2.47,12.7,7.9,-2.2,-4.79,5.25
237,954,150.6626683,-34.0259967,5.9,4.9,0.64,2.44,12.8,8.3,-2.16,-4.84,5.4
238,958,150.6626617,-34.026025,5.3,4.6,0.67,2.47,12.7,8.7,-2.14,-4.75,4.95
239,962,150.6626533,-34.026055,5.1,4.8,0.66,2.49,12.4,7.7,-2.12,-4.73,4.95
240,966,150.662645,-34.0260833,5.2,4.3,0.63,2.45,11.8,7.6,-2.02,-4.66,4.75
241,970,150.6626367,-34.0261117,5.1,4.1,0.64,2.39,11.4,7.1,-2,-4.6,4.6
242,974,150.66263,-34.02614,4.7,3.8,0.67,2.48,11.2,7,-2.01,-4.47,4.25
243,978,150.6626217,-34.0261683,4.4,3,0.62,2.46,10.3,6.1,-1.98,-4.51,3.7
244,982,150.662615,-34.0261967,4.1,3.2,0.6,2.41,10,5.9,-1.97,-4.61,3.65
245,986,150.6626083,-34.026225,4.2,3.2,0.61,2.35,10,5.7,-1.95,-4.54,3.7
246,990,150.6626017,-34.0262517,4,3,0.64,2.45,10,5.9,-1.96,-4.46,3.5
247,994,150.662595,-34.02628,4.2,3.2,0.6,2.43,10.1,6.1,-1.99,-4.56,3.7
248,998,150.6625883,-34.0263067,3.8,2.8,0.64,2.43,9.9,6,-1.98,-4.59,3.3
249,1002,150.6625817,-34.026335,3.9,2.8,0.62,2.44,10.7,6.2,-2.05,-4.74,3.35
250,1006,150.662575,-34.0263633,4.3,3,0.59,2.43,11.4,6.7,-2.18,-4.94,3.65
251,1010,150.6625683,-34.02639,4.6,2.6,0.56,2.57,12.4,7,-2.38,-5.17,3.6
252,1014,150.6625633,-34.026415,4.7,2.4,0.54,2.75,13.2,6.9,-2.59,-5.42,3.55
253,1018,150.66256,-34.02644,4,1.6,0.59,2.69,13.1,6.8,-2.62,-5.52,2.8
254,1022,150.6625567,-34.0264633,2.8,1.1,0.59,2.7,12.1,5.9,-2.65,-5.58,1.95
