,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag
216,867,150.663825,-34.022065,2.8,5.3,0.27,0.65,2.5,3.5,-0.5,-1.61
217,871,150.663825,-34.022065,3.0,5.3,0.27,0.66,2.6,3.6,-0.49,-1.59
218,875,150.663825,-34.022065,3.1,5.7,0.27,0.66,2.6,3.7,-0.5,-1.61
219,879,150.663825,-34.022065,2.8,5.5,0.27,0.66,2.8,3.4,-0.49,-1.62
220,883,150.663825,-34.022065,2.9,5.8,0.28,0.64,2.6,3.2,-0.5,-1.61
221,887,150.663825,-34.022065,2.7,5.6,0.27,0.66,2.5,3.7,-0.5,-1.58
222,891,150.663825,-34.022065,3.0,5.8,0.28,0.67,2.8,3.4,-0.5,-1.61
223,895,150.663825,-34.022065,3.2,5.7,0.27,0.66,2.6,3.2,-0.5,-1.62
224,899,150.663825,-34.022065,3.5,5.7,0.28,0.66,2.6,3.4,-0.49,-1.58
225,903,150.663825,-34.022065,3.3,5.3,0.28,0.65,2.7,3.3,-0.49,-1.6
226,907,150.663825,-34.022065,3.3,5.8,0.27,0.65,2.4,3.5,-0.5,-1.6
227,911,150.663825,-34.022065,3.3,5.8,0.27,0.63,2.6,3.3,-0.49,-1.59
228,915,150.663825,-34.022065,3.4,5.1,0.28,0.66,2.6,3.4,-0.49,-1.59
229,919,150.663825,-34.022065,3.3,5.7,0.27,0.68,2.6,3.6,-0.49,-1.6
230,923,150.663825,-34.022065,3.3,5.7,0.27,0.66,2.7,3.3,-0.49,-1.62
231,927,150.663825,-34.022065,3.3,5.5,0.27,0.66,2.8,3.4,-0.49,-1.6
232,931,150.663825,-34.022065,3.2,5.5,0.26,0.65,1.9,2.2,-0.5,-1.63
233,935,150.663825,-34.022065,3.4,5.5,0.27,0.63,2.5,3.1,-0.49,-1.59
234,939,150.663825,-34.022065,3.1,5.2,0.27,0.66,2.6,3.1,-0.49,-1.6
235,943,150.663825,-34.022065,2.7,5.7,0.26,0.67,2.5,2.9,-0.49,-1.62
236,947,150.663825,-34.022065,3.2,5.2,0.27,0.65,2.6,3.2,-0.49,-1.6
237,951,150.663825,-34.022065,2.8,5.4,0.27,0.66,2.6,3.5,-0.49,-1.58
238,955,150.663825,-34.022065,3.0,5.4,0.27,0.66,3.1,4.5,-0.49,-1.58
239,959,150.663825,-34.022065,3.3,5.5,0.27,0.66,2.5,3.2,-0.49,-1.56
240,963,150.663825,-34.022065,3.3,5.5,0.27,0.66,2.7,3.3,-0.49,-1.57
241,967,150.663825,-34.022065,3.3,5.7,0.27,0.67,2.6,3.7,-0.49,-1.58
242,971,150.663825,-34.022065,3.4,5.5,0.27,0.67,2.6,3.3,-0.49,-1.58
243,975,150.663825,-34.022065,3.3,5.5,0.27,0.68,2.5,3.3,-0.49,-1.6
244,979,150.663825,-34.022065,3.4,5.1,0.27,0.66,2.6,3.2,-0.49,-1.6
245,983,150.6638317,-34.0220667,3.5,5.2,0.27,0.67,2.6,3.1,-0.48,-1.58
246,987,150.663845,-34.02207,3.3,5.6,0.28,0.65,2.5,3.0,-0.48,-1.6
247,991,150.6638567,-34.0220767,3.3,5.6,0.28,0.69,2.7,3.1,-0.47,-1.55
248,995,150.6638683,-34.0220833,3.5,5.6,0.28,0.72,2.7,3.4,-0.48,-1.63
249,999,150.66388,-34.0220933,3.4,5.6,0.27,0.74,2.4,3.1,-0.48,-1.66
250,1003,150.6638917,-34.0221033,3.6,5.8,0.27,0.63,2.3,3.2,-0.48,-1.65
251,1007,150.6639,-34.0221133,3.5,5.9,0.24,0.58,2.6,3.6,-0.47,-1.57
252,1011,150.6639067,-34.022125,3.1,5.9,0.25,0.6,2.7,3.4,-0.46,-1.52
253,1015,150.6639083,-34.0221383,3.0,5.4,0.27,0.65,2.6,3.5,-0.46,-1.49
254,1019,150.6639067,-34.0221533,2.6,6.2,0.3,0.7,2.5,3.2,-0.47,-1.49
255,1023,150.6639017,-34.0221683,3.4,6.3,0.28,0.7,3.0,3.6,-0.5,-1.6
256,1027,150.6638967,-34.022185,3.5,5.7,0.24,0.69,3.9,4.0,-0.57,-1.71
257,1031,150.6638917,-34.0222067,3.7,5.3,0.24,0.69,4.0,4.0,-0.62,-1.74
258,1035,150.6638867,-34.0222283,3.8,5.4,0.25,0.72,3.9,4.4,-0.65,-1.82
259,1039,150.6638817,-34.0222533,3.5,5.8,0.35,0.83,4.4,4.0,-0.71,-1.76
260,1043,150.663875,-34.0222817,3.6,5.7,0.36,0.83,4.0,4.1,-0.72,-1.77
261,1047,150.6638683,-34.02231,3.8,5.9,0.74,1.25,5.1,4.7,-1.08,-1.83
262,1051,150.66386,-34.0223417,4.7,6.2,0.66,1.46,4.6,4.6,-1.0,-1.85
263,1055,150.6638517,-34.0223733,5.0,7.0,0.36,0.99,4.7,4.3,-0.84,-2.09
264,1059,150.6638433,-34.02241,4.9,7.7,0.37,1.0,5.3,5.3,-0.92,-2.12
265,1063,150.6638333,-34.0224467,5.5,8.7,0.31,1.02,6.0,5.5,-1.04,-2.2
266,1067,150.6638217,-34.0224867,5.6,9.0,0.35,1.09,5.6,4.8,-1.06,-2.16
267,1071,150.6638117,-34.0225283,5.6,10.3,0.34,1.09,5.3,5.3,-1.05,-2.18
268,1075,150.6638,-34.02257,6.7,11.8,0.37,1.2,5.7,5.4,-1.09,-2.14
269,1079,150.6637883,-34.022615,6.5,13.2,0.46,1.35,6.0,4.4,-1.07,-1.94
270,1083,150.6637783,-34.0226583,6.5,14.4,0.51,1.39,5.5,4.0,-1.08,-1.89
